feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,target
1.09336,-1.58083,-0.42567,0.49292,-0.91125,1.89603,1.10441,-0.6144,-3.69931,-0.66544,-1.21886,-0.03899,,0.81531,1.092,,-0.90044,-0.55144,1.26332,-0.30572,2.16946,0.82579,-4.03391,2.29924,-1.53076,0
-0.78587,0.13012,-0.72025,-1.49171,-2.49851,2.44903,-0.56556,-1.91831,1.4719,0.93216,-0.54042,-2.24774,-0.05326,-1.08414,,,-0.09616,1.11773,1.56746,0.51173,-4.29624,0.40272,-2.55019,0.4407,,0
0.96187,2.93601,-1.53606,1.1085,-1.6013,-3.80333,2.67486,2.18786,-4.29749,0.05063,0.77766,-1.47216,,0.44436,-0.37125,,-1.60655,0.28006,-0.59441,-1.2684,1.37949,-1.18431,-2.81891,-6.85613,0.68148,0
1.21984,-1.01523,0.61894,4.45609,-1.47975,-3.07499,0.21845,2.16414,-4.35323,-2.25324,1.45479,1.15772,,-0.13727,,,-0.52287,0.69097,1.83657,,1.34358,,0.01386,-0.80301,2.45495,0
,,-0.72921,2.2646,-0.91794,,-0.47244,0.20328,-1.1747,2.35198,-0.70416,-0.45099,,-0.71486,,,-0.64018,0.06389,-0.60003,,2.45651,1.19013,0.05305,0.89518,0.59084,0
-0.69375,3.85439,-0.74032,-3.6615,1.30931,-0.28103,0.58684,0.61829,-1.02946,-0.11351,0.02579,0.04371,,-0.26626,-0.83001,-0.48141,-0.98454,0.02887,-0.07579,,0.11855,-1.20352,-3.7993,-3.95601,-1.98484,0
-0.05015,1.18917,0.11692,-0.56039,2.41231,,-0.5728,0.04436,-1.70366,-0.30543,0.41237,-1.21051,,0.92516,,,-0.56711,0.12164,0.6472,-0.6346,0.14815,,-3.46014,1.16628,-0.07673,0
-1.32901,2.50509,0.91166,-0.65313,-0.24225,-0.9783,0.01538,0.29381,-0.39339,-2.87058,-2.25856,0.32455,-0.41329,-0.11498,,0.83871,-2.15935,-1.29273,0.40665,-0.65076,,,0.00224,0.76332,,1
1.69293,-1.47526,3.54646,,2.89195,0.80578,0.32566,-0.2431,2.68725,-2.19095,0.55075,0.23215,-0.06866,0.10182,,-1.07863,0.34741,0.65123,3.39122,0.75937,,-2.07478,3.05516,5.19523,2.11194,0
1.64473,-0.76271,0.85046,,1.55942,0.2509,0.08572,1.39354,-0.43641,-2.99268,-0.85813,3.27435,,-0.05132,,-1.74155,-0.39532,1.19467,5.79294,,-3.16645,-0.2093,0.50762,3.08768,2.39279,0
1.16723,-2.50465,1.01989,-2.03261,-5.37845,4.64635,0.21572,-2.34873,2.00247,0.99844,0.45655,0.03002,1.00332,-0.28731,0.1478,-1.72563,1.22385,-0.23536,1.5522,1.40562,-4.22621,0.86146,1.32657,2.80689,0.93939,0
0.93152,0.04386,5.07715,,-1.87906,-3.71141,-0.54746,2.33886,0.11082,0.8873,0.83952,-0.88443,0.85518,-0.66563,,0.53343,1.27059,1.01052,-4.33102,1.14365,0.47152,-0.06629,7.07076,-5.62848,-0.06035,0
-0.34117,-0.7255,-1.42622,,2.47499,-1.18559,-0.05712,1.38751,2.22899,-2.62438,0.1668,0.95739,-0.61169,-1.83032,-0.73855,,0.43159,0.6803,3.39821,-1.18609,-0.00637,0.3304,4.0242,3.40372,,1
-0.42715,2.28137,-1.3827,0.17514,0.9199,0.88459,-0.90439,0.71381,1.19005,-3.46194,-0.40232,0.97241,0.697,-1.55182,-1.8934,,-1.17192,-0.83355,5.24985,-0.83691,-2.96607,0.12585,-1.26791,0.12294,0.102,0
-1.14333,-3.48768,1.95031,1.41354,-1.62665,1.32437,0.01028,0.34844,0.20152,2.62942,-1.51544,0.24143,,2.45362,,0.05535,-0.42258,2.48742,-1.13576,1.11279,2.33542,,3.09024,1.86608,1.77495,0
-0.23934,1.36233,3.56495,-5.49815,0.82984,-0.19534,-0.68272,-0.88043,-2.56614,3.11872,1.6672,-1.50551,,-0.59042,1.44073,-0.71175,0.22408,1.43322,-5.1125,-0.76139,0.62327,,-3.09387,-0.50696,,0
-0.84186,-1.30849,2.74085,,0.93739,0.04251,-0.79698,0.75237,-0.71836,4.48761,1.5408,1.64837,0.28908,0.33195,-0.01978,-1.39929,-0.04888,-0.63489,-2.44157,-0.47687,,,-0.14365,-1.68386,,0
-3.43451,-0.82045,0.70031,0.7085,3.79716,-3.38888,-0.56151,-2.34445,-0.69136,2.18096,1.14702,0.96164,,-0.00375,0.96849,,0.78177,1.10718,-7.37156,,3.37603,,-2.6303,2.57172,1.21076,0
-0.63233,-0.54299,1.27055,1.51509,5.16885,2.78939,-0.90262,0.00555,-0.18974,-1.57588,-0.23408,-0.37379,,1.19388,,-0.4648,0.72982,0.14794,4.54654,0.04463,-1.0835,-0.95883,-2.50731,7.98188,1.66787,0
0.65203,0.75895,4.49353,-3.86815,-1.97592,-3.64731,-0.13701,2.99814,-0.95974,2.40478,-0.65396,-1.20813,2.15151,0.98751,,,1.27973,-0.27399,-4.69826,0.55058,1.71627,-0.46269,5.64669,-7.64172,-0.11387,0
-1.61851,5.44489,1.74752,-8.02562,-0.12289,1.24421,-0.63691,-0.648,-1.87247,1.18572,-0.60437,0.25661,,-0.42772,,,0.78715,-0.08276,0.81805,,-5.45843,,-8.51677,-4.06563,1.54991,0
0.17785,-5.91674,0.47136,,-1.70431,1.81127,2.01611,1.55251,0.1867,2.96638,-0.10337,0.05002,,-0.44248,-0.71982,,1.64165,-0.62258,1.51099,0.53339,3.38621,0.28744,4.66979,1.93292,2.0136,0
-3.10329,-1.30438,1.5208,1.79654,-1.73039,0.55075,-1.71547,1.28409,-1.70648,1.28464,-1.09534,-0.88007,-1.59035,0.81107,,,0.09043,0.03203,0.13303,-0.38329,3.14613,-0.27388,0.25368,0.69906,2.87143,0
,-0.06372,1.87739,-0.90301,-2.85267,1.57682,0.73705,-0.97965,-1.63388,-1.46135,-0.82488,-0.09351,,0.19311,1.14626,-1.561,-1.33315,-1.32398,0.23301,,0.54002,,-1.92355,3.19686,1.73273,0
2.03104,-1.37352,1.59646,-1.95902,-2.5005,3.24866,-0.29957,-0.57984,0.54958,2.05608,-0.73906,0.74656,0.49276,0.5369,,,-0.39968,0.35024,0.65958,,-2.1873,,1.41311,1.455,0.40191,0
-0.70255,0.3096,3.59229,-2.77812,1.84911,-0.81957,0.26399,1.85498,-3.2853,1.08236,-1.5054,-0.92812,,0.15684,1.3765,-1.04059,-0.17626,-1.00424,-2.03528,1.77806,3.67037,,-0.79475,-1.2262,-0.8496,0
,-1.94246,-1.85157,3.72159,0.08548,,-1.63257,-1.96541,-1.46685,-1.35712,-1.14601,0.80029,,0.99905,-1.11419,-0.8844,-1.51115,-0.1429,0.57533,1.84798,,,-3.13209,4.65483,,0
1.32254,1.34508,-1.37709,2.69192,0.92961,-0.6538,-1.10546,1.01219,-4.03081,-1.96818,1.69173,-0.52789,,0.66452,-0.29557,-2.28704,1.76471,-0.55161,3.89545,-1.1831,-0.78354,,-5.12942,0.48032,,0
2.10266,-0.13371,-0.34505,3.88878,0.9355,-0.90549,-1.20508,0.25817,-2.4865,-1.19942,1.69031,0.40599,,-1.15027,,-0.73784,1.72077,0.20681,2.56042,-0.21352,-2.0342,,-2.09659,3.07956,3.11724,0
-1.24819,1.73509,0.9416,-3.87064,3.12185,,0.4528,-2.32589,-0.41718,-2.14157,-0.03234,-2.45372,,-1.27461,-0.17032,-2.47577,-0.39328,-1.05818,-2.55903,-0.62506,,,-4.85655,0.11367,,1
-2.85688,-3.1807,-0.60148,5.60876,-0.26317,0.14545,-0.55533,0.45517,-0.20346,-0.22752,-0.35076,0.83685,,-0.17295,-0.55422,-0.11942,-0.91275,-0.11248,1.36421,-1.94119,3.16493,0.93973,1.06333,3.47564,2.7515,0
0.20818,2.69055,-0.58157,-4.81102,-0.28173,0.05992,1.71711,-1.25652,0.4196,-1.25353,-0.13729,-0.17303,-0.53679,-1.20208,0.92359,-2.54617,2.32168,1.18714,0.43112,1.15705,-3.68384,,-3.86817,-3.32221,,1
-1.70444,2.56502,-1.53084,-5.23264,1.07993,-1.47608,-0.82802,-3.30905,3.53636,0.71726,-0.49439,-1.44546,,-1.09687,,,-1.39761,0.34917,-3.45739,-1.43729,-4.74441,-0.45231,-3.67444,-3.83862,,1
-1.21057,-0.15676,1.75965,-1.98562,-0.77715,,1.61593,0.27927,-2.41185,1.39704,-1.03029,-0.20753,,-1.37199,,,-0.51794,0.06456,-1.106,-2.11017,2.45466,,-2.01188,0.10787,-0.16783,0
1.58823,-0.05503,0.70897,,-0.79175,,-0.74262,0.84644,-2.31507,0.17068,-0.70318,0.28772,,-1.65154,,0.41246,-1.13153,0.60464,-0.57299,0.042,-0.55268,0.68472,0.67298,0.23528,,0
,-1.98545,2.50783,-5.16625,-2.00161,3.32162,-0.3428,-5.92723,2.7723,-3.12519,-1.52808,1.16115,0.64122,0.10072,,-3.45588,,-2.26582,-0.41183,-0.61929,-6.89599,,-2.23296,7.59136,-0.43356,0
0.60144,-0.81556,-0.34685,3.56702,1.22567,-0.36063,1.7885,2.08879,0.23001,-1.71382,0.64109,-0.18659,,-0.522,0.09885,1.74287,-2.14296,2.12138,2.55534,0.58586,2.0102,0.4057,3.47997,1.22506,,1
0.83639,,4.79331,-7.07558,-0.84862,1.94711,-1.36776,-2.33886,-1.90273,0.3479,-0.01922,-1.73994,,-0.27468,0.47346,-1.39138,-0.3634,-0.60307,-3.74097,,-1.03875,1.11763,-2.02863,3.2134,,0
-0.28967,-0.27678,1.08642,1.05952,1.18741,-0.61112,1.3717,1.03827,-2.3863,-1.97662,-1.2803,-0.24069,,2.05083,,,-1.05666,-0.31504,1.67761,0.6709,1.30468,1.04829,-1.31132,1.38131,,0
2.69779,1.788,3.48934,-5.53867,3.49458,-1.16926,0.1779,1.57342,-1.18404,-0.91203,1.8411,-0.20097,0.55564,-0.18239,-0.06107,,0.15058,0.96335,1.59612,0.09998,-3.78792,,-1.50531,-3.34789,-1.39008,0
0.9439,1.43067,0.38743,0.27207,-1.38068,,0.38229,0.59764,-0.44363,-1.66368,-1.12787,0.122,,-0.108,1.12057,-0.90187,-0.37649,-1.12854,0.39486,-0.72699,-2.96117,,0.65383,-2.77005,1.79372,0
2.84949,,-2.32514,2.21098,0.2862,-2.13442,-0.70271,-0.21044,0.8745,-2.13485,0.35314,0.98165,-0.51474,-1.61242,0.2484,,0.26914,1.56885,3.63403,,-7.49739,,-1.55673,-1.15745,,0
5.4906,3.0347,0.89218,,-0.03139,-5.32189,0.37361,2.39372,-1.41516,0.51805,0.51072,-1.4794,0.00887,1.24028,1.68066,-0.38668,-0.47413,0.43194,0.33182,-0.10843,-6.4203,-1.92403,1.61898,-6.64677,3.50441,0
-3.29287,-2.23546,0.06486,,2.49673,-2.29815,-2.31552,1.19538,-5.01466,-0.90806,0.6681,0.06034,0.82003,1.09544,0.53196,0.92592,-0.02304,0.20944,-2.37047,-0.40053,9.68854,,-1.7777,3.98103,,0
,-0.93265,-0.28757,1.36629,-1.80333,0.84751,1.36998,-0.55424,-0.06966,2.07889,1.29103,0.16358,,-1.62367,,-0.01256,-0.95925,-2.01892,-0.62898,1.1377,0.18654,,-0.45017,0.79314,2.36597,0
-0.58026,-2.17873,1.4429,,0.78273,-0.16669,1.37739,-1.71048,-0.53512,3.88217,-0.78276,1.05777,,0.11585,,,1.26713,0.18452,-4.6713,0.65463,1.11205,,-1.68925,0.24499,,0
0.79266,-1.98182,2.45708,0.78065,-1.37749,,-0.84915,-1.61054,-1.87566,-0.02577,-1.18724,-0.24655,,-0.24155,,-1.32116,-1.42255,-1.12854,-3.03212,,-1.25076,1.76803,-0.06683,2.70067,2.63651,0
,-2.69335,1.81649,-0.28392,-3.28092,3.51276,1.56689,-0.24744,1.3338,1.35662,0.36023,0.44431,0.31417,-0.10834,-0.07571,,-0.95897,0.34529,1.58403,1.46871,-1.35392,,3.26287,2.57522,1.28315,0
0.8688,-0.9394,1.16193,2.89614,2.18437,0.10906,0.28542,-0.13052,-1.26653,-1.08355,1.23527,0.17411,-0.48227,-1.62281,-1.53966,-0.81546,0.38665,0.86573,2.51451,-0.87191,-2.18651,,-1.35998,5.35116,3.36648,0
-0.47973,0.09202,1.58616,0.59443,0.67879,-1.1361,0.56889,1.92472,-0.36372,-1.67807,1.90105,-0.92531,0.2018,-0.62293,,-0.67379,-1.27066,-0.79032,1.84726,0.31123,0.18936,1.60855,1.86242,-0.6796,0.85335,0
-1.26136,0.20882,1.92118,-1.49454,-1.14827,1.29278,-0.12075,1.53886,-3.36044,1.69061,-0.31088,-0.05586,0.5669,-1.00162,,,0.77112,0.68298,0.0302,0.67197,,,-2.04622,-1.08203,0.49293,0
0.92984,1.87169,-0.79105,-0.14538,-1.3064,-1.57501,-1.22163,-0.14513,-1.00739,0.46309,1.19412,-2.89057,,-0.01185,0.60139,-0.13896,-0.51206,-0.15892,-0.82688,,-1.9088,,-1.56458,-2.55473,,0
2.44959,1.68647,-0.48357,2.3046,1.00833,-1.63629,0.34385,1.92099,-0.85639,-1.62736,0.69281,0.31243,,-2.21877,,0.01774,1.15439,0.60318,3.51952,,-2.86541,,0.35406,-1.11807,1.95324,0
-4.10297,-4.96026,-2.35168,8.96089,1.25882,-2.18509,-2.53555,-1.96654,-0.1708,-0.98646,-0.88926,-1.11289,,-0.71218,,2.04129,-1.34519,-2.34515,-3.11328,-0.10162,6.59025,-0.08961,0.71258,7.1312,1.86307,0
1.47853,,0.23055,4.55679,1.56186,0.74863,-0.44883,-0.78247,-0.03285,-3.2902,-0.67736,-0.17056,,-0.16602,,-1.31929,0.53858,1.91544,5.46334,0.08152,-5.0774,,-1.04639,7.46665,4.34603,0
0.61426,1.05738,1.76734,-2.14319,7.3403,,0.19687,-0.98143,-0.49929,0.95932,0.98779,-1.20805,0.53824,1.29553,1.42588,,-0.92838,1.24576,2.85501,,-2.87242,,-5.74805,7.56009,0.93479,0
0.09188,-1.5044,0.36719,-0.29593,1.56733,-0.82718,0.56432,-1.75403,-0.46489,3.43879,0.11116,0.52831,,-1.44235,-1.98294,,0.32002,-1.73935,-4.32713,0.23593,0.56979,-1.82272,-1.84892,0.93025,0.65716,0
0.7166,0.8579,1.16133,-3.74331,-0.93884,2.4725,0.45921,-2.14765,-1.54981,-1.86406,1.03436,0.09828,,0.60549,-0.47457,,1.01711,-0.3801,1.40505,1.3062,,-0.85314,-4.7314,2.97854,-0.73916,0
-1.79351,-0.77458,0.7864,0.13684,-0.7523,,1.84576,-0.33585,-1.98647,2.00457,0.22761,1.5972,,-1.18299,,-0.22432,-0.24431,0.36888,-2.60057,-0.71061,3.03137,,-1.6387,0.68167,0.89796,0
0.00105,0.71529,-1.04191,1.15331,0.5129,-0.0379,-0.29618,0.22699,-5.1092,-0.79555,-2.5609,1.15392,0.24179,-0.11205,-0.01774,,0.10332,-0.67032,1.22804,,2.31627,,-6.56382,0.55072,-0.08199,0
0.65908,-1.67218,-0.57337,,-2.1645,2.05841,-0.28421,-2.71439,-0.22921,-1.18657,-0.68786,-0.62192,-1.04031,-1.31219,-0.24989,,-0.78353,-1.67177,-0.17312,0.64041,,-0.2122,-1.04988,5.31248,-0.13103,0
-3.17223,0.23408,-2.70312,2.72907,3.5734,-2.72585,1.18681,0.90937,-5.04215,2.5125,1.14984,1.00628,,-1.11935,,-2.82073,0.02943,1.40533,-1.77918,-0.38193,5.98382,,-8.46698,-3.38814,0.47004,0
2.31577,1.76081,0.47645,-1.00646,0.27708,-1.91663,-0.80588,-0.17032,-2.08976,-0.63123,0.29995,1.13524,,-0.55976,,,0.34026,0.14663,0.69905,0.0392,,-1.06499,-3.35206,-1.69367,1.7228,0
0.46949,1.06365,7.2011,-7.99657,-4.9541,4.08646,0.74524,0.62612,-2.54632,1.23807,0.03019,1.49979,-0.37115,0.00457,0.32841,-0.74754,-2.63006,0.78567,-1.3883,0.00569,-0.2572,,1.8501,1.2421,-0.05123,0
,-1.26126,-0.78742,0.28414,-2.96065,2.7463,-2.05666,-0.18314,-0.92124,1.81884,1.15813,-0.25402,-2.02742,-0.035,-1.80415,-2.04392,-0.96503,0.62738,2.11795,,-0.81109,1.06508,-1.76055,-0.32467,0.94155,0
0.89954,2.3425,1.38879,-4.62423,1.27184,,-0.86057,-0.46597,-0.11087,0.98664,2.12648,-0.53238,,-0.36256,0.25585,,-1.21129,-0.84434,-1.43009,,-2.44431,,-2.02347,-1.80248,-0.80512,0
-0.16637,0.38368,3.67821,-6.2496,1.01988,0.86169,0.60015,0.89047,-1.93816,5.41779,0.78034,0.70484,,1.65354,,-1.59218,0.52218,-1.60195,-3.96242,0.42375,1.79744,1.43954,-1.74351,-3.84691,,0
-0.57592,-2.26098,4.91447,-5.84211,-0.52465,,-0.99239,-2.93577,1.08501,3.11741,-0.53971,0.25866,,-1.41787,,-1.02085,-1.43855,-0.95412,-6.0205,-0.18464,-1.27412,,0.90342,2.6154,,0
-0.26827,-0.4475,4.00298,-1.56277,0.49387,-1.4159,1.06185,1.8679,-0.9687,0.02087,-0.63794,0.61002,0.29688,1.70124,0.65859,-0.71262,0.11053,-1.3261,-0.89216,0.65821,0.81666,,2.82736,-0.96417,0.86109,0
0.58737,,1.30883,-2.29779,3.5077,0.89073,1.56545,-0.85032,-0.51849,-0.89368,-0.6983,0.5867,,0.41932,-0.4249,-1.77707,1.63328,-2.07273,1.74093,-1.45672,-3.40419,1.08089,-3.96345,2.89728,0.54424,0
0.89464,,3.53329,-4.04852,-3.08602,2.85825,0.71315,-0.64461,-1.7777,0.95562,-0.19344,0.10315,,0.68266,,-0.8289,1.34018,-0.2244,-1.00419,,-0.42915,-0.41604,-0.05201,2.04533,,0
-1.99133,1.49715,-1.27268,1.87149,1.61958,-1.18307,-0.18735,0.33179,-4.07759,-0.41349,0.46638,1.77857,-0.0981,-0.0072,,-1.55214,-0.68851,-1.11289,0.33669,,2.5265,-2.56838,-6.35243,0.25171,1.29948,0
-3.35367,-2.68051,-0.37855,,1.23419,-1.43796,-2.10577,1.06608,-2.67615,0.3324,-0.1751,0.94422,,0.14492,-2.01752,0.64531,1.73348,0.24114,-1.24786,1.02052,7.07629,,-0.28885,2.82337,1.64005,0
-1.22338,-1.65349,-0.80799,0.80558,-0.73884,0.61521,-1.57768,-3.45692,-0.00749,-1.09989,0.9666,-0.87734,,-0.83096,-0.2442,-2.02767,0.67721,1.06298,-0.67606,0.9212,,,-3.72947,4.41839,,0
-3.8667,1.1713,0.26731,-1.94434,0.61913,-0.00535,-0.14099,1.00285,-3.23678,-0.29911,-0.3682,-1.14713,1.04981,-0.58869,-0.68727,-0.43521,0.99832,0.08355,-2.14829,-0.79435,,-2.11371,-3.29323,-1.71406,,0
1.78802,-1.03555,-0.57431,0.33984,-0.83259,0.52552,0.99761,-0.48476,-1.14114,1.36867,0.08892,-0.15551,,-0.45545,-0.15974,2.40688,0.25501,-2.16791,-3.01089,1.93173,3.61765,,1.19813,0.8293,-2.65218,1
-1.39889,-2.86981,-3.09594,2.88789,0.42868,-0.41314,1.05545,-5.76919,0.8749,-2.13025,0.55904,1.43375,,-0.31126,-1.59623,,-0.2797,0.70464,-1.22362,,-2.97291,,-5.96989,6.36879,,0
0.46147,-0.191,0.04581,1.87999,-0.75816,-1.47532,0.11137,0.64567,-3.74421,-1.54771,0.28692,1.66843,0.90345,1.40823,,,-1.97777,1.21806,0.9007,0.6246,1.10974,,-2.61537,-0.14643,0.89566,0
2.44832,,1.74362,-3.79896,2.21845,-0.12692,-0.01553,-0.38931,-0.07523,-1.13788,-0.31903,-0.26448,0.99264,2.95763,,-3.11917,0.98858,1.60939,2.20122,0.27639,-6.03158,,-2.75171,-0.53758,,0
-2.11783,-0.48972,0.36983,-0.3092,-1.55917,1.25934,-1.48703,-3.77332,0.82808,-2.94683,1.2196,-0.80249,-0.29757,0.09505,0.71348,-0.70119,-0.94826,0.64537,-0.52474,,-2.40169,,-2.27549,6.46314,1.23111,0
0.0343,2.27535,1.74874,-3.99772,-1.69897,,1.35979,-0.3368,-1.27367,0.08674,0.33114,0.70897,,0.26806,,-1.58388,-1.97282,-0.02349,1.38035,-0.5033,-2.77192,0.4051,-2.96109,0.30058,0.83108,0
-0.45337,1.44427,-1.42273,1.17409,3.36369,2.65628,2.41387,-0.42808,0.92195,-2.72629,-1.5453,0.09298,0.18268,-0.37341,0.36915,-0.46894,1.00229,-0.62369,5.78603,0.54312,-3.06134,-0.29527,-3.53803,5.01874,0.87893,0
1.61915,-2.08617,0.51023,0.67219,-1.56199,2.95939,0.10295,0.22858,-1.79866,-0.21883,1.21397,1.05397,,-1.04166,,-0.80892,0.26497,-0.84583,2.1577,0.66613,1.55454,-0.65908,0.0086,2.87644,,0
-1.85682,-1.12095,2.31164,-2.20218,-1.43095,0.64529,0.68429,-2.25971,0.58303,1.84291,1.39192,-2.3446,-1.5132,-1.26825,,-0.31244,1.0507,1.36633,-3.76858,-1.15006,-0.61667,,-0.20616,2.43834,1.59301,0
0.65442,0.14503,0.00836,-2.65986,1.73522,0.67311,0.25698,-1.84586,-1.80378,0.50231,1.41674,0.97216,-1.63298,-2.08447,,-3.21669,-0.28378,1.74145,-0.39239,-0.80285,-1.64029,-0.60249,-6.03173,0.71629,,0
-0.76683,0.05267,-0.58459,1.60006,-0.39528,0.07495,0.44152,-1.54017,-2.95023,-1.23125,-1.08521,-0.46075,,-0.36585,,-1.7291,-0.89207,0.64675,0.35736,1.89483,-0.09259,,-5.08945,3.41646,1.72519,0
4.02774,-3.05108,1.65317,-1.70113,-2.54662,3.33866,-1.41137,-2.29623,0.73823,1.86279,-2.87023,-0.62153,-0.05041,-0.37158,,0.38571,0.22151,0.37798,-1.23387,,-2.30599,-1.94932,2.28368,4.19693,,0
0.06907,-0.01607,3.0687,-3.30514,-3.34421,3.35894,-2.69519,-0.09131,-2.76837,-0.93902,0.45391,0.58004,-1.10674,0.97907,,-1.48351,-0.76912,-0.5807,0.92743,-0.97738,,1.69009,-1.01568,2.61171,-0.70812,0
2.61091,-0.15964,2.52775,1.36376,-2.55509,-4.32894,-0.81283,2.20322,2.69804,-2.02472,2.15711,-0.5724,,-2.30795,,0.23458,1.88386,1.78458,1.17475,,-5.66652,-0.10968,8.58444,-4.08162,3.52575,0
,0.12913,2.16232,0.28591,-0.5156,,-0.00389,1.39792,-3.31939,-1.7644,-0.07687,0.17225,,-0.82145,,-3.25953,-1.18707,0.0642,1.49761,-0.73246,-2.87323,,-0.68355,-1.96474,1.96905,0
-0.44136,-2.37132,3.14686,-1.42887,-2.71515,,-0.05355,-0.3378,-0.39441,0.2067,-0.91889,0.00793,-0.19587,-0.7108,-1.15205,0.14688,0.92478,0.13902,-0.54399,,1.90147,,2.75192,3.87011,-0.3756,0
1.4253,2.11756,1.43009,-3.73472,2.98637,0.11576,-1.03975,0.13951,0.75639,-0.18509,1.81264,-0.26109,-1.17031,-0.60561,-1.33773,-1.05706,-0.14368,2.54408,1.2032,0.14495,-4.01337,-1.51598,-1.48823,-0.79069,,0
-0.24051,0.23559,-0.35347,0.21326,-0.25384,0.99151,-1.3203,-1.03788,-2.25821,-1.13396,1.19797,1.49052,-2.61647,2.50932,,-1.25107,,0.0833,0.75034,-0.33239,0.30423,,-3.88955,2.63814,,0
-0.60566,0.71605,2.76391,-3.12291,-3.3934,,0.26209,-0.98552,-2.11158,-0.83459,-1.55902,-0.30973,0.85272,-0.87712,-0.13955,-2.2633,0.30086,1.3431,0.78431,,,,-2.43597,2.40435,1.55146,0
3.2909,1.93214,-1.54912,2.37162,0.57078,-1.03801,-0.27208,0.9795,0.03758,-4.76986,0.3462,-0.4267,0.20658,0.5037,-0.64285,,0.09659,-1.29821,7.59706,2.70612,-7.44571,1.06561,-1.52951,-0.30138,2.33507,0
-0.08777,0.49726,1.93194,-4.49353,-5.23571,4.70401,-0.2485,-1.42507,1.26772,0.14619,1.57573,-1.44129,,1.12277,-0.28284,-2.53513,0.24286,-0.11138,2.87795,0.38977,-5.48899,,-0.64983,1.07101,1.63144,0
3.62497,2.35179,2.50294,-4.17945,3.01954,-0.53953,1.6548,1.95604,1.50988,-2.54316,1.14132,-0.18554,1.04396,-0.90903,,,-0.10136,-1.42066,5.64698,,-8.15134,,0.54134,-3.10767,0.20561,0
-3.11696,0.7665,-0.82372,1.38317,5.85257,4.31347,-0.03626,-1.66982,1.4136,-1.10128,0.74187,-0.64406,-0.59334,1.06071,,1.65768,0.97746,1.13571,3.48592,-1.01266,-0.0957,,-4.47343,10.0207,1.09314,0
-1.73114,-0.56806,1.56027,1.79177,0.51139,-0.5142,1.16387,2.11336,-4.66991,1.26562,0.54457,0.54685,-0.10359,0.37214,,0.67794,-0.62648,-1.52524,-1.83245,-0.30078,7.20561,0.29857,-0.92974,0.76999,,0
1.09921,-3.70697,-2.58305,5.04496,-2.54102,1.55618,0.58599,-2.99714,0.00742,-0.92049,-0.14536,-0.98143,1.23347,0.69184,-0.47985,,-0.13945,-1.10636,0.50056,0.26482,-0.20847,,-0.59118,6.17826,0.92423,0
2.39235,3.42128,-0.45456,-0.37488,3.23064,-0.84327,0.51022,1.87171,-0.23543,-1.28089,-0.3963,0.0472,,0.21346,,,-0.00091,0.22457,4.95405,0.21088,-5.33696,0.10463,-2.37129,-2.16764,1.65029,0
2.84521,3.21206,3.33529,-8.48518,2.14771,2.18317,0.65986,-0.50036,3.27943,-0.65288,2.30628,-3.50779,0.82285,-0.15449,-0.14145,,-2.09803,0.11411,2.49986,,-8.80823,0.38329,0.06961,-0.99464,,1
2.24162,2.10047,-1.10649,0.41748,1.0698,,1.14734,0.23365,-2.79454,-1.59251,-0.62036,-0.56999,0.12378,-1.05178,-0.68513,,2.05639,-0.01976,2.38589,,-3.37779,,-4.94451,-1.70124,,0
1.42709,3.2312,-0.55115,0.08707,2.10202,-1.70978,0.94997,2.43843,0.65702,-1.55491,0.28297,-0.98333,,-1.20797,,0.459,-0.47926,1.41468,3.39052,1.14428,-2.96543,,0.74585,-3.48809,0.65923,0
1.09701,-1.42794,-1.71757,1.89632,2.16993,0.76607,-0.95223,1.48461,-1.78746,-0.04173,0.03959,-1.93095,,0.04302,,-2.92293,-2.38275,1.4867,3.95298,,1.28408,,-2.92837,-1.19539,,1
5.04515,3.82011,0.7926,-3.607,3.17166,-1.20005,-0.24625,1.80557,0.11767,-2.99929,-1.67333,1.68262,,-0.57444,,,0.19161,0.21431,6.50424,-0.8081,,,-2.32236,-4.21864,0.21722,0
,1.86104,0.56741,-1.06723,0.75773,-0.25427,-0.4457,0.59719,0.0404,-1.2385,1.34419,-0.33618,-0.73849,0.21076,,-0.89842,0.35027,-1.30359,2.02214,-0.19401,-2.53692,,-1.05563,-0.64327,1.03798,1
-2.18325,,-2.49081,,4.1652,-1.64846,-0.30796,0.13448,-4.01938,-1.83765,-0.16611,-0.61559,1.2965,0.45929,,,0.76005,0.45735,0.58622,-0.72966,4.46823,-0.2669,-7.01217,1.6439,-0.66249,0
-2.05587,0.31213,-0.4811,2.06971,-0.26927,,-1.10787,1.30402,-3.90222,-1.81206,-1.26476,0.74086,,0.13739,-1.7204,,1.38513,0.31791,-0.04042,-0.42615,5.33298,-0.62564,-2.38614,-0.37959,,0
0.44346,0.25737,-3.45307,6.93096,-0.19262,0.19501,-0.25201,-0.62172,-2.82757,-1.0245,1.56745,-0.19937,,-0.29668,0.62787,,-1.17704,-0.28256,2.94579,,-0.16002,,-4.33253,4.84123,3.79207,0
